year_month,Discharge_log,Temperature_log,precip_trend_log,Abstraction_log,t_1,t_2,D4N0065
1975-06-01,1.6616565134685746,0.0,0.0,13.023014317587,0.0,0.0,-18.5
1975-07-01,1.6270073780554002,0.0,0.0,13.023014317587,-18.5,0.0,-18.41568965517241
1975-08-01,1.5955343516929448,0.0,5.441523169458946,13.023014317587,-18.41568965517241,-18.5,-18.32856896551724
1975-09-01,1.592774206413158,3.5726122302071057,5.504612930996776,13.023014317587,-18.32856896551724,-18.41568965517241,-18.24144827586207
1975-10-01,1.4749911707567747,3.553343811341229,5.5452432374077425,13.023014317587,-18.24144827586207,-18.32856896551724,-18.15713793103448
1975-11-01,1.4298324645564588,3.72785282839839,5.5452432374077425,13.023014317587,-18.15713793103448,-18.24144827586207,-18.07001724137931
1975-12-01,1.3421702577358507,4.034952986707273,5.5337636897652915,13.023014317587,-18.07001724137931,-18.15713793103448,-17.98570689655173
1976-01-01,1.4567917352735051,4.095577608523707,5.536891345234797,13.698186287030413,-17.98570689655173,-18.07001724137931,-17.89858620689655
1976-02-01,1.5098251234324072,4.184284380098582,5.5337636897652915,13.698186287030413,-17.89858620689655,-17.98570689655173,-17.81146551724138
1976-03-01,1.5382462193419828,4.165475048141086,5.528154143339408,13.698186287030413,-17.81146551724138,-17.89858620689655,-17.72996551724138
1976-04-01,1.7961549306341744,4.141994780532244,5.529278572809983,13.698186287030413,-17.72996551724138,-17.81146551724138,-17.64284482758621
1976-05-01,1.9190868191761563,4.137665769442657,5.550845987257492,13.698186287030413,-17.64284482758621,-17.72996551724138,-17.55853448275862
1976-06-01,2.111199404173581,4.106826321059578,5.554841338652634,13.698186287030413,-17.55853448275862,-17.64284482758621,-17.47141379310345
1976-07-01,2.0564004398588,3.962692419475791,5.497260126707947,13.698186287030413,-17.47141379310345,-17.55853448275862,-17.38710344827586
1976-08-01,1.9696419073711495,3.7376090033437546,5.354837418577593,13.698186287030413,-17.38710344827586,-17.47141379310345,-17.29998275862069
1976-09-01,1.9286144815629869,3.5610957881455465,5.238204377030537,13.698186287030413,-17.29998275862069,-17.38710344827586,-17.21286206896552
1976-10-01,1.8708748683436724,3.583997552432231,5.156471323236185,13.698186287030413,-17.21286206896552,-17.29998275862069,-17.12855172413793
1976-11-01,1.9681238805141723,3.72785282839839,5.039389601348587,13.698186287030413,-17.12855172413793,-17.21286206896552,-17.04143103448276
1976-12-01,1.8363813486458531,4.003204288392691,4.956597948817708,13.698186287030413,-17.04143103448276,-17.12855172413793,-16.95712068965517
1977-01-01,1.7134398838277076,4.072693314690119,4.9188330973566945,13.986493824841634,-16.95712068965517,-17.04143103448276,-16.87
1977-02-01,1.7381205462026765,4.115735065948687,4.9188330973566945,13.986493824841634,-16.87,-16.95712068965517,-12.42
1977-03-01,1.7842606194689856,4.2088254890147,4.922138339169239,13.986493824841634,-12.42,-16.87,-13.27
1977-04-01,1.8329775133663322,4.221871333847999,4.9577927396723345,13.986493824841634,-13.27,-12.42,-14.44
